lib32-libdrm 2.4.54-1
lib32-libffi 3.0.13-1
lib32-libgcrypt 1.6.1-1
lib32-libgpg-error 1.12-1
lib32-libjpeg-turbo 1.3.1-1
lib32-libldap 2.4.39-1
lib32-libpciaccess 0.13.2-1
lib32-libpng 1.6.10-1
lib32-libssh2 1.4.3-1
lib32-libtiff 4.0.3-2
lib32-libvdpau 0.7-2
lib32-libx11 1.6.2-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.10-2
lib32-libxcomposite 0.4.4-1
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-1
lib32-libxdmcp 1.1.1-1
lib32-libxext 1.3.2-1
lib32-libxfixes 5.0.1-1
lib32-libxft 2.3.1-1
lib32-libxi 1.7.2-1
lib32-libxinerama 1.1.3-1
lib32-libxrandr 1.4.2-1
lib32-libxrender 0.9.8-1
lib32-libxshmfence 1.1-1
lib32-libxxf86vm 1.1.3-1
lib32-llvm-libs 3.4.1-1
lib32-mesa 10.1.4-1
lib32-mesa-libgl 10.1.4-1
lib32-ncurses 5.9-2
lib32-openssl 1.0.1.g-1
lib32-pango 1.36.3-1
lib32-pcre 8.35-1
lib32-pixman 0.32.4-1
lib32-systemd 212-1
lib32-util-linux 2.24.1-1
lib32-wayland 1.5.0-1
lib32-xz 5.0.5-1
lib32-zlib 1.2.8-1
libaio 0.3.109-7
libarchive 3.1.2-6
libart-lgpl 2.3.21-3
libass 0.11.2-1
libassuan 2.1.1-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.5.0-1
libbonobo 2.32.1-4
libbonoboui 2.24.5-2
libbsd 0.6.0-2
libcaca 0.99.beta18-2
libcanberra 0.30-4
libcap 2.24-1
libcap-ng 0.7.3-1
libcdaudio 0.99.12-7
libcddb 1.3.2-4
libcdio 0.92-1
libcdio-paranoia 10.2+0.90+1-2
libcdr 0.0.16-2
libconfig 1.4.9-2
libcroco 0.6.8-1
libcups 1.7.3-3
libdaemon 0.14-2
libdatrie 0.2.6-1
libdbus 1.8.2-1
libdc1394 2.2.1-2
libdca 0.0.5-4
libdmx 1.1.3-1
libdrm 2.4.54-1
libdv 1.0.0-6
libdvbpsi 1:1.1.2-1
libdvdcss 1.2.13-3
libdvdnav 4.2.1-1
libdvdread 4.9.9-1
libebml 1.3.0-2
libedit 20140213_3.1-1
libetonyek 0.0.4-1
libevdev 1.2.1-1
libevent 2.0.21-3
libexif 0.6.21-2
libffi 3.0.13-4
libfontenc 1.1.2-1
libftdi-compat 0.20-1
libgcrypt 1.6.1-1
libglade 2.6.4-5
libgme 0.6.0-2
libgnome 2.32.1-5
libgnome-data 2.32.1-5
libgnome-keyring 3.12.0-1
libgnomecanvas 2.30.3-2
libgnomeui 2.24.5-1
libgpg-error 1.13-1
libgpod 0.8.3-2
libgusb 0.1.6-1
libgxps 0.2.2-3
libice 1.0.8-2
libid3tag 0.15.1b-8
